time_stamps,x_coordinate,y_coordinate,pupilL,pupilR
0.57,0.4667427,0.2001912,4.700851,4.621368
0.573333333333333,0.4657686,0.2013773,4.698441,4.619583
0.576666666666667,0.4650595,0.198937,4.691742,4.612793
0.58,0.4652223,0.2022124,4.680466,4.601883
0.583333333333333,0.4673122,0.2085152,4.67337,4.594513
0.586666666666667,0.4641033,0.1968007,4.667572,4.593948
0.59,0.4649065,0.1989443,4.664703,4.586487
0.593333333333333,0.4649943,0.1978813,4.658539,4.580811
0.596666666666667,0.4709661,0.2141388,4.648499,4.574768
0.6,0.4691498,0.1997688,4.645844,4.570984
0.603333333333333,0.466546,0.1972617,4.635101,4.566238
0.606666666666667,0.4689218,0.1938625,4.630844,4.554382
0.61,0.4688496,0.1956626,4.625427,4.550949
0.613333333333333,0.4699635,0.199494,4.621521,4.538162
0.616666666666667,0.4688891,0.2099985,4.611649,4.531082
0.62,0.4657606,0.2058411,4.60228,4.52652
0.623333333333333,0.4671319,0.2026563,4.599091,4.521133
0.626666666666667,0.4664239,0.1968965,4.592804,4.513702
0.63,0.4666415,0.2014063,4.584641,4.507324
0.633333333333333,0.4672554,0.2003213,4.578644,4.501877
0.636666666666667,0.465856,0.1984034,4.573883,4.494385
0.64,0.4639509,0.1939779,4.567688,4.488052
0.643333333333333,0.462788,0.1945282,4.560532,4.485565
0.646666666666667,0.4628404,0.194149,4.552948,4.478088
0.65,0.4645233,0.1990608,4.544662,4.470459
0.653333333333333,0.4641804,0.1987403,4.53775,4.467819
0.656666666666667,0.4636945,0.1977079,4.530899,4.462128
0.66,0.4632851,0.1961725,4.525192,4.458801
0.663333333333333,0.4635226,0.1971245,4.519867,4.452057
0.666666666666667,0.4636549,0.1977666,4.512375,4.444397
0.67,0.463111,0.1961068,4.50499,4.439438
0.673333333333333,0.4629806,0.1950549,4.4991,4.433197
0.676666666666667,0.4649324,0.2003493,4.492218,4.428238
0.68,0.4632147,0.19505,4.486984,4.423004
0.683333333333333,0.4664539,0.1973844,4.484863,4.415405
0.686666666666667,0.4654703,0.1930565,4.476639,4.410019
0.69,0.4649441,0.1936627,4.46759,4.400299
0.693333333333333,0.4646806,0.192788,4.462097,4.39447
0.696666666666667,0.4639227,0.1915022,4.458252,4.389679
0.7,0.4640366,0.1918096,4.452896,4.383606
0.703333333333333,0.462624,0.1909267,4.443771,4.38269
0.706666666666667,0.4628741,0.1913815,4.440247,4.379776
0.71,0.4619358,0.1902381,4.433273,4.374756
0.713333333333333,0.4602449,0.1868761,4.428909,4.370972
0.716666666666667,0.4601005,0.1899869,4.426422,4.366043
0.72,0.4603147,0.1994895,4.420868,4.362137
0.723333333333333,0.4615074,0.1920963,4.415543,4.356857
0.726666666666667,0.4636378,0.1969493,4.409912,4.351868
0.73,0.464009,0.199499,4.404388,4.348404
0.733333333333333,0.4636165,0.1924827,4.404144,4.34256
0.736666666666667,0.4641785,0.1926494,4.399506,4.339523
0.74,0.4643885,0.1921941,4.391846,4.336411
0.743333333333333,0.4645827,0.1935558,4.388077,4.326813
0.746666666666667,0.461933,0.1813767,4.383713,4.323166
0.75,0.4633079,0.1862836,4.381927,4.322525
0.753333333333333,0.4650326,0.1924026,4.374329,4.322189
0.756666666666667,0.4654412,0.1921591,4.369186,4.318329
0.76,0.4633754,0.1892265,4.370972,4.314987
0.763333333333333,0.4612817,0.1865066,4.369675,4.310135
0.766666666666667,0.4604019,0.1848692,4.363571,4.311417
0.77,0.4606723,0.1824905,4.35965,4.303299
0.773333333333333,0.4609551,0.1814996,4.354538,4.30336
0.776666666666667,0.462459,0.1811084,4.34967,4.295532
0.78,0.4619705,0.1822934,4.34845,4.298187
0.783333333333333,0.4615525,0.1820691,4.349457,4.294327
0.786666666666667,0.4596745,0.1818911,4.346664,4.293854
0.79,0.4588606,0.1812205,4.342697,4.287491
0.793333333333333,0.4627347,0.1813689,4.335129,4.284805
0.796666666666667,0.4597836,0.1777324,4.329666,4.282547
0.8,0.4527031,0.1762882,4.330872,4.270309
0.803333333333333,0.4462717,0.182723,4.323608,4.267639
0.806666666666667,0.4404424,0.1692286,4.321121,4.267471
0.81,0.4389004,0.1603613,4.317322,4.267975
0.813333333333333,0.4425184,0.164993,4.307709,4.260391
0.816666666666667,0.4461209,0.1644242,4.305878,4.260284
0.82,0.4463142,0.1659708,4.307388,4.253311
0.823333333333333,0.4421256,0.158801,4.308716,4.25853
0.826666666666667,0.4380583,0.1601737,4.308716,4.253021
0.83,0.4465359,0.1692676,4.29631,4.2444
0.833333333333333,0.4479545,0.1707867,4.293808,4.242798
0.836666666666667,0.4466936,0.1705811,4.294128,4.246246
0.84,0.4483576,0.1709675,4.290314,4.247894
